scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit
41,absent,linear-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
42,absent,linear-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
43,absent,linear-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
44,absent,linear-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
45,absent,linear-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
46,absent,linear-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
47,absent,linear-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
48,absent,linear-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
49,absent,linear-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
50,absent,linear-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
51,absent,linear-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
52,absent,linear-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
53,absent,linear-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
54,absent,linear-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
55,absent,linear-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
56,absent,linear-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
57,absent,linear-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
58,absent,linear-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
59,absent,linear-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
60,absent,linear-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0
61,absent,linear-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
62,absent,linear-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
63,absent,linear-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
64,absent,linear-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0
65,absent,linear-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0
